Season	Player	Team	GP	TOI	Shots Against	Saves	Goals Against	SV%	GAA	GSAA	xG Against	HD Shots Against	HD Saves	HD Goals Against	HDSV%	HDGAA	HDGSAA	MD Shots Against	MD Saves	MD Goals Against	MDSV%	MDGAA	MDGSAA	LD Shots Against	LD Saves	LD Goals Against	LDSV%	LDGAA	LDGSAA	Rush Attempts Against	Rebound Attempts Against	Avg. Shot Distance	Avg. Goal Distance
20072008	Tyler Weiman	COL	1	12.333333333333	6	6	0	1	0	0.48	0.76	2	2	0	1	0	0.36	0	0	0	-	0	0	4	4	0	1	0	0.11	0	1	32.17	-
20072008	Tobias Stephan	DAL	1	38.533333333333	27	27	0	1	0	2.15	1.78	8	8	0	1	0	1.44	10	10	0	1	0	0.77	9	9	0	1	0	0.25	1	0	33.48	-
20072008	Daniel Lacosta	CBJ	1	10.583333333333	5	5	0	1	0	0.4	0.22	0	0	0	-	0	0	0	0	0	-	0	0	5	5	0	1	0	0.14	0	0	51	-
20072008	Pekka Rinne	NSH	1	23.4	8	8	0	1	0	0.64	0.83	3	3	0	1	0	0.54	3	3	0	1	0	0.23	2	2	0	1	0	0.05	0	0	31.63	-
20072008	Matt Keetley	CGY	1	9.3666666666667	2	2	0	1	0	0.16	0.04	0	0	0	-	0	0	0	0	0	-	0	0	2	2	0	1	0	0.05	0	0	47	-
20072008	Joey MacDonald	NYI	2	88.316666666667	50	49	1	0.98	0.68	2.99	3.4	6	5	1	0.833	0.68	0.08	19	19	0	1	0	1.47	23	23	0	1	0	0.63	4	8	44.5	6
20072008	Corey Crawford	CHI	5	156.33333333333	75	72	3	0.96	1.15	2.98	4.8	20	18	2	0.9	0.77	1.59	22	21	1	0.955	0.38	0.7	29	29	0	1	0	0.79	3	1	33.73	18
20072008	Craig Anderson	FLA	17	700.05	398	380	18	0.955	1.54	13.75	28.11	96	84	12	0.875	1.03	5.25	103	102	1	0.99	0.09	6.98	186	181	5	0.973	0.43	0.08	15	38	36.25	22.89
20072008	Brian Elliott	OTT	1	46.983333333333	21	20	1	0.952	1.28	0.68	2.28	7	6	1	0.857	1.28	0.26	10	10	0	1	0	0.77	4	4	0	1	0	0.11	1	3	27.95	15
20072008	Erik Ersberg	L.A	14	603.68333333333	331	315	16	0.952	1.59	10.4	24.14	66	57	9	0.864	0.89	2.86	95	91	4	0.958	0.4	3.36	164	161	3	0.982	0.3	1.48	15	24	37.33	22.63
20072008	Brian Boucher	S.J	5	172.66666666667	69	65	4	0.942	1.39	1.5	5.38	17	16	1	0.941	0.35	2.05	19	17	2	0.895	0.69	-0.53	33	32	1	0.97	0.35	-0.1	3	3	32.03	30.5
20072008	Ty Conklin	PIT	33	1361.35	748	703	45	0.94	1.98	14.67	49.54	171	138	33	0.807	1.45	-2.28	176	170	6	0.966	0.26	7.63	379	374	5	0.987	0.22	5.35	36	66	37.51	22.11
20072008	Jean-Sebastien Giguere	ANA	58	2347.75	1057	993	64	0.939	1.64	20.31	80.59	285	254	31	0.891	0.79	20.21	296	273	23	0.922	0.59	-0.07	446	437	9	0.98	0.23	3.18	60	82	35.32	26
20072008	Marc-Andre Fleury	PIT	35	1326.4166666667	640	601	39	0.939	1.76	12.05	46.3	139	121	18	0.871	0.81	6.97	187	172	15	0.92	0.68	-0.52	290	284	6	0.979	0.27	1.92	36	62	36.69	27.82
20072008	Tim Thomas	BOS	57	2520.3	1261	1182	79	0.937	1.88	21.59	87.37	340	289	51	0.85	1.21	10.09	313	294	19	0.939	0.45	5.24	538	530	8	0.985	0.19	6.69	72	107	40.6	23.47
20072008	Ilya Bryzgalov	ANA, PHX	64	2630.6666666667	1351	1259	92	0.932	2.1	15.77	105.6	319	267	52	0.837	1.19	5.31	408	384	24	0.941	0.55	7.6	582	566	16	0.973	0.36	-0.11	65	116	36.44	23.45
